;BUSINESSPARTNERID2;FIRSTCONTACTDATE2;BUSINESSPARTNERCATEGORY2;GIVENNAMES;LASTNAME;CONSULTATION;GENDER;NAMEATBIRTH;DATEOFBIRTH;PLACEOFBIRTH;MARITALSTATUS;EDUCATIONLEVEL;ISHOMEOWNER;NUMBERHOUSEHOLDMEMBERS;CHILDRENATHOMEINDICATOR
70;6172;13.06.2012;Individual;Alexandra;Smith;;female;Smith;03.07.1973;;Married;HighSchool;1;2;0
71;6385;07.08.2012;Individual;Lauren;Rim;;female;Rim;06.07.1977;;Single;HighSchool;0;2;0
72;6173;07.09.2014;Individual;Elizabeth;Smith;;female;Smith;25.12.1962;;Married;Bachelor;1;4;1
73;6386;13.03.2014;Individual;Madison;Rim;;female;Rim;17.07.1975;;Single;Bachelor;0;4;1
74;6174;27.08.2016;Individual;Haley;Anderson;;female;Anderson;25.12.1987;;Married;SmeCollege;1;4;0
75;6387;12.02.2017;Individual;Rachel;Rim;;female;Rim;08.04.1970;;Married;9thGrade;1;3;1
76;6175;07.02.2016;Individual;Kimberly;Anderson;;female;Anderson;18.11.1961;;Single;Master;1;2;1
77;6388;10.04.2017;Individual;Sarah;Rim;;female;Rim;04.08.1968;;Single;Bachelor;0;4;1
78;6176;25.06.2015;Individual;Taylor;Anderson;;female;Anderson;26.04.1979;;Single;Bachelor;0;1;0
79;6389;17.09.2014;Individual;Shelby;Rim;;female;Rim;23.07.1984;;Married;SmeCollege;1;2;1
80;6177;26.03.2013;Individual;Abigail;Brown;;female;Brown;25.08.1958;;Married;9thGrade;0;2;0
81;6390;23.11.2013;Individual;Alexandra;Rodriguez;;female;Rodriguez;13.11.1968;;Married;Bachelor;1;1;0
82;6178;16.07.2012;Individual;Alyssa;Brown;;female;Brown;18.10.1959;;Single;Bachelor;0;2;1
83;6179;27.10.2014;Individual;Taylor;Garufi;;female;Garufi;25.02.1979;;Single;Bachelor;1;4;0
84;6391;23.01.2013;Individual;Elizabeth;Rodriguez;;female;Rodriguez;28.05.1963;;Married;HighSchool;0;3;0
85;6180;12.06.2012;Individual;Alexis;Hernandez;;female;Hernandez;04.04.1961;;Married;Bachelor;0;3;0
86;6392;21.09.2013;Individual;Taylor;Tollner;;female;Tollner;01.05.1981;;Married;Bachelor;1;4;0
87;6393;27.10.2016;Individual;Alexis;Venere;;female;Venere;26.12.1981;;Married;Bachelor;0;2;0
88;6181;17.08.2012;Individual;Allison;Hernandez;;female;Hernandez;22.12.1965;;Married;SmeCollege;0;1;0
89;6394;09.04.2016;Individual;Allison;Venere;;female;Venere;10.12.1970;;Single;Bachelor;0;2;0
90;6182;03.02.2016;Individual;Amanda;Hernandez;;female;Hernandez;26.10.1978;;Married;HighSchool;0;4;1
91;6395;07.02.2013;Individual;Amanda;Venere;;female;Venere;07.02.1978;;Married;9thGrade;0;2;0
92;6183;24.01.2017;Individual;Anna;Hernandez;;female;Hernandez;17.12.1973;;Single;Bachelor;0;4;1
93;6396;05.03.2016;Individual;Anna;Venere;;female;Venere;10.01.1968;;Single;HighSchool;0;3;0
94;6184;12.12.2015;Individual;Danielle;Hernandez;;female;Hernandez;05.07.1965;;Single;9thGrade;1;4;1
95;6397;22.08.2015;Individual;Danielle;Venere;;female;Venere;03.02.1966;;Single;AssocDgree;1;2;0
96;6185;22.06.2013;Individual;Hannah;Hernandez;;female;Hernandez;13.06.1982;;Single;HighSchool;0;4;0
97;6398;22.07.2016;Individual;Hannah;Venere;;female;Venere;30.09.1963;;Single;9thGrade;0;1;0
98;6186;24.05.2015;Individual;Melissa;Hernandez;;female;Hernandez;25.07.1962;;Single;Bachelor;1;4;1
99;6399;13.01.2014;Individual;Melissa;Venere;;female;Venere;23.09.1976;;Single;9thGrade;1;1;0
100;6187;20.03.2013;Individual;Ashley;Martin;;female;Martin;25.11.1973;;Single;AssocDgree;0;3;1
101;6400;06.08.2016;Individual;Emily;Caldarera;;female;Caldarera;15.07.1986;;Married;HighSchool;0;2;1
102;6188;15.10.2016;Individual;Jessica;Martin;;female;Martin;05.03.1976;;Married;HighSchool;1;1;1
103;6189;09.01.2015;Individual;Kayla;Martin;;female;Martin;04.07.1983;;Single;Bachelor;0;2;0
104;6401;04.04.2012;Individual;Morgan;Caldarera;;female;Caldarera;14.10.1982;;Single;SmeCollege;1;4;0
105;6190;03.11.2012;Individual;Nicole;Martin;;female;Martin;08.11.1962;;Single;SmeCollege;1;3;0
106;6402;12.03.2016;Individual;Courtney;Darakjy;;female;Darakjy;06.01.1972;;Single;SmeCollege;0;3;0
107;6191;03.05.2015;Individual;Hannah;Poquette;;female;Poquette;21.01.1980;;Single;9thGrade;1;1;0
108;6192;04.02.2012;Individual;Melissa;Poquette;;female;Poquette;27.02.1973;;Married;Bachelor;0;2;1
109;6403;03.07.2014;Individual;Kayla;Flosi;;female;Flosi;05.07.1972;;Married;Bachelor;1;4;0
110;6193;08.03.2016;Individual;Abigail;Rim;;female;Rim;10.07.1985;;Married;SmeCollege;0;1;1
111;6194;23.04.2013;Individual;Alyssa;Rim;;female;Rim;17.08.1964;;Single;9thGrade;1;3;1
112;6404;09.03.2014;Individual;Nicole;Flosi;;female;Flosi;29.12.1984;;Married;SmeCollege;0;4;1
113;6195;21.05.2015;Individual;Brittany;Rim;;female;Rim;14.05.1978;;Single;HighSchool;1;3;1
114;6405;04.05.2017;Individual;Haley;Foller;;female;Foller;07.06.1963;;Single;SmeCollege;0;2;0
115;6196;16.04.2012;Individual;Rebecca;Thomas;;female;Thomas;08.01.1963;;Single;SmeCollege;0;4;0
116;6197;22.07.2016;Individual;Stephanie;Thomas;;female;Thomas;14.03.1971;;Single;HighSchool;1;4;0
117;6406;24.05.2014;Individual;Megan;Rodriguez;;female;Rodriguez;26.03.1975;;Married;Bachelor;1;4;0
118;6198;10.07.2014;Individual;Courtney;Thompson;;female;Thompson;29.04.1967;;Single;AssocDgree;0;4;1
119;6199;01.09.2012;Individual;Kelsey;Thompson;;female;Thompson;18.06.1966;;Single;AssocDgree;1;3;1
120;6407;10.08.2012;Individual;Olivia;Rodriguez;;female;Rodriguez;01.11.1982;;Married;AssocDgree;1;2;0
121;6200;26.07.2014;Individual;Mary;Thompson;;female;Thompson;30.11.1963;;Single;AssocDgree;1;2;0
122;6408;13.01.2015;Individual;Amber;Ruta;;female;Ruta;01.08.1965;;Single;Master;0;4;0
123;6201;28.01.2016;Individual;Alyssa;Wilson;;female;Wilson;06.11.1982;;Married;Bachelor;0;1;0
124;6409;18.09.2016;Individual;Brianna;Ruta;;female;Ruta;09.08.1963;;Married;SmeCollege;1;2;0
125;6202;03.05.2012;Individual;Brittany;Wilson;;female;Wilson;28.07.1973;;Single;AssocDgree;0;3;0
126;6410;22.02.2013;Individual;Jasmine;Ruta;;female;Ruta;09.08.1978;;Married;AssocDgree;1;3;0
127;6203;26.03.2014;Individual;Jennifer;Wilson;;female;Wilson;02.02.1977;;Married;HighSchool;1;1;1
128;6411;03.04.2013;Individual;Ashley;White;;female;White;09.08.1979;;Married;SmeCollege;1;1;0
129;6204;25.06.2015;Individual;Rebecca;Wilson;;female;Wilson;11.02.1977;;Single;HighSchool;0;1;1
130;6412;28.09.2014;Individual;Jessica;White;;female;White;02.05.1981;;Married;SmeCollege;1;1;1
131;6205;28.09.2013;Individual;Stephanie;Wilson;;female;Wilson;04.03.1979;;Married;Bachelor;0;3;0
132;6413;26.12.2016;Individual;Kayla;White;;female;White;19.10.1968;;Married;HighSchool;1;3;0
133;6206;16.06.2015;Individual;Brittany;Brown;;female;Brown;09.10.1984;;Single;Bachelor;0;4;0
134;6414;18.08.2016;Individual;Nicole;White;;female;White;06.02.1962;;Single;HighSchool;1;4;1
135;6207;05.12.2015;Individual;Jennifer;Brown;;female;Brown;20.03.1981;;Married;AssocDgree;0;2;0
136;6415;12.05.2012;Individual;Kelsey;Darakjy;;female;Darakjy;31.12.1968;;Single;9thGrade;1;1;1
137;6208;11.06.2014;Individual;Rebecca;Brown;;female;Brown;10.06.1968;;Married;AssocDgree;0;4;1
138;6416;04.02.2014;Individual;Mary;Darakjy;;female;Darakjy;02.11.1971;;Married;HighSchool;0;4;1
139;6209;08.12.2014;Individual;Stephanie;Brown;;female;Brown;04.01.1966;;Single;Bachelor;1;3;0
140;6417;27.10.2012;Individual;Samantha;Darakjy;;female;Darakjy;05.09.1976;;Married;HighSchool;1;2;0
141;6210;26.09.2012;Individual;Alexis;Butt;;female;Butt;27.07.1976;;Married;SmeCollege;0;1;1
142;6418;11.09.2016;Individual;Victoria;Darakjy;;female;Darakjy;04.06.1971;;Married;HighSchool;1;2;0
143;6211;23.04.2015;Individual;Alexandra;Albares;;female;Albares;08.05.1986;;Single;Master;0;3;1
144;6419;15.10.2014;Individual;Alexandra;Davis;;female;Davis;08.09.1965;;Married;HighSchool;0;1;1
145;6212;20.09.2016;Individual;Elizabeth;Albares;;female;Albares;29.10.1974;;Single;SmeCollege;1;3;1
146;6420;02.02.2013;Individual;Elizabeth;Davis;;female;Davis;11.12.1963;;Single;SmeCollege;1;2;1
147;6213;26.01.2012;Individual;Megan;Albares;;female;Albares;19.01.1979;;Single;9thGrade;0;1;1
148;6421;04.03.2017;Individual;Kimberly;Foller;;female;Foller;10.07.1969;;Single;AssocDgree;0;3;0
149;6214;26.07.2014;Individual;Olivia;Albares;;female;Albares;20.08.1966;;Married;SmeCollege;1;3;1
150;6422;30.05.2017;Individual;Taylor;Foller;;female;Foller;22.04.1973;;Married;HighSchool;0;1;1
151;6215;29.01.2015;Individual;Sarah;Johnson;;female;Johnson;07.01.1980;;Married;Bachelor;1;2;1
152;6423;03.09.2012;Individual;Alexandra;Garcia;;female;Garcia;30.11.1965;;Single;Master;0;2;0
153;6216;19.03.2014;Individual;Shelby;Johnson;;female;Johnson;15.03.1964;;Single;Master;0;3;0
154;6424;12.08.2013;Individual;Elizabeth;Garcia;;female;Garcia;05.01.1986;;Married;Bachelor;1;2;1
155;6217;25.06.2016;Individual;Amber;Jones;;female;Jones;19.05.1979;;Single;Bachelor;0;1;1
156;6425;15.05.2012;Individual;Alexandra;Maclead;;female;Maclead;22.04.1970;;Married;Bachelor;0;4;1
157;6218;24.04.2012;Individual;Brianna;Jones;;female;Jones;03.11.1981;;Single;Bachelor;1;3;1
158;6426;15.03.2014;Individual;Allison;Butt;;female;Butt;19.07.1969;;Married;Bachelor;1;2;1
159;6219;15.02.2016;Individual;Jasmine;Jones;;female;Jones;24.09.1977;;Married;9thGrade;1;2;1
160;6220;19.12.2012;Individual;Katherine;Jones;;female;Jones;15.02.1959;;Single;HighSchool;0;4;1
161;6427;17.02.2016;Individual;Amanda;Butt;;female;Butt;27.12.1964;;Married;Bachelor;0;4;0
162;6221;17.09.2016;Individual;Lauren;Jones;;female;Jones;29.05.1962;;Single;AssocDgree;1;3;0
163;6428;10.08.2013;Individual;Anna;Butt;;female;Butt;25.01.1964;;Single;HighSchool;1;3;1
164;6222;23.08.2014;Individual;Madison;Jones;;female;Jones;31.03.1978;;Single;HighSchool;0;3;0
165;6429;22.12.2012;Individual;Megan;Dilliard;;female;Dilliard;22.03.1958;;Married;HighSchool;1;4;1
166;6223;16.07.2015;Individual;Rachel;Jones;;female;Jones;20.02.1976;;Married;HighSchool;0;4;0
167;6430;04.01.2013;Individual;Olivia;Dilliard;;female;Dilliard;06.11.1981;;Married;Bachelor;1;4;1
168;6224;20.02.2012;Individual;Sarah;Jones;;female;Jones;07.10.1976;;Married;Bachelor;1;4;1
169;6431;15.06.2014;Individual;Alexandra;Flosi;;female;Flosi;25.10.1973;;Single;AssocDgree;1;2;0
170;6225;04.06.2014;Individual;Emily;Moore;;female;Moore;03.04.1971;;Single;Bachelor;1;2;0
171;6432;18.01.2014;Individual;Elizabeth;Flosi;;female;Flosi;08.05.1982;;Single;AssocDgree;1;3;1
172;6226;04.09.2014;Individual;Morgan;Moore;;female;Moore;08.02.1969;;Married;Bachelor;0;1;0
173;6433;20.02.2012;Individual;Haley;Marrier;;female;Marrier;10.02.1971;;Single;9thGrade;0;2;0
174;6434;11.09.2014;Individual;Kimberly;Marrier;;female;Marrier;18.09.1962;;Married;Bachelor;0;1;1
175;6227;30.01.2015;Individual;Alexandra;Morasca;;female;Morasca;17.05.1977;;Single;AssocDgree;1;3;1
176;6435;17.02.2014;Individual;Taylor;Marrier;;female;Marrier;01.11.1972;;Single;HighSchool;1;3;0
177;6228;16.09.2016;Individual;Taylor;Taylor;;female;Taylor;02.09.1977;;Single;Master;0;2;1
178;6436;21.08.2013;Individual;Elizabeth;Paprocki;;female;Paprocki;31.08.1969;;Single;Master;0;4;1
179;6229;16.04.2016;Individual;Ashley;Thomas;;female;Thomas;06.03.1981;;Single;9thGrade;0;4;0
180;6437;05.12.2013;Individual;Megan;Paprocki;;female;Paprocki;07.12.1961;;Single;HighSchool;1;1;1
181;6230;30.11.2013;Individual;Jessica;Thomas;;female;Thomas;01.08.1970;;Married;HighSchool;0;3;1
182;6231;24.03.2014;Individual;Kayla;Thomas;;female;Thomas;27.05.1965;;Single;Bachelor;1;3;1
183;6438;07.05.2017;Individual;Olivia;Paprocki;;female;Paprocki;01.11.1983;;Married;Master;0;2;0
184;6439;01.06.2013;Individual;Alexis;Poquette;;female;Poquette;19.05.1979;;Single;9thGrade;1;2;1
185;6232;09.03.2013;Individual;Haley;Wieser;;female;Wieser;13.12.1976;;Married;AssocDgree;0;1;1
186;6440;20.11.2015;Individual;Allison;Poquette;;female;Poquette;18.02.1970;;Single;Bachelor;1;1;0
187;6233;27.06.2015;Individual;Kimberly;Wieser;;female;Wieser;29.11.1962;;Single;AssocDgree;0;3;0
188;6441;24.02.2014;Individual;Amanda;Poquette;;female;Poquette;03.01.1981;;Single;Bachelor;1;4;0
189;6234;12.04.2014;Individual;Taylor;Wieser;;female;Wieser;21.07.1968;;Married;SmeCollege;1;1;1
190;6442;09.06.2017;Individual;Anna;Poquette;;female;Poquette;04.09.1973;;Single;SmeCollege;1;1;0
191;6235;16.03.2014;Individual;Amber;Amigon;;female;Amigon;11.07.1981;;Married;Master;1;2;0
192;6443;15.06.2017;Individual;Danielle;Poquette;;female;Poquette;30.12.1971;;Single;Master;0;4;0
193;6236;06.06.2015;Individual;Brianna;Amigon;;female;Amigon;12.09.1969;;Single;Bachelor;1;1;1
194;6444;03.02.2016;Individual;Samantha;Thompson;;female;Thompson;21.01.1986;;Single;HighSchool;1;3;0
195;6237;14.01.2015;Individual;Jasmine;Amigon;;female;Amigon;10.08.1978;;Single;Bachelor;0;1;0
196;6445;20.06.2013;Individual;Victoria;Thompson;;female;Thompson;30.04.1978;;Single;9thGrade;1;2;0
197;6238;30.09.2016;Individual;Katherine;Amigon;;female;Amigon;08.03.1977;;Married;HighSchool;1;3;0
198;6446;14.08.2014;Individual;Courtney;Tollner;;female;Tollner;17.01.1961;;Single;Bachelor;1;2;0
199;6239;13.03.2012;Individual;Lauren;Amigon;;female;Amigon;01.05.1968;;Married;SmeCollege;1;3;1
200;6447;09.06.2014;Individual;Kelsey;Tollner;;female;Tollner;11.01.1963;;Single;Bachelor;0;3;0
201;6448;22.04.2017;Individual;Mary;Tollner;;female;Tollner;24.01.1988;;Single;AssocDgree;1;2;0
202;6240;18.06.2017;Individual;Madison;Amigon;;female;Amigon;19.05.1971;;Single;HighSchool;0;3;0
203;6449;17.10.2013;Individual;Danielle;Butt;;female;Butt;21.09.1963;;Single;Master;1;1;0
204;6241;29.08.2015;Individual;Rachel;Amigon;;female;Amigon;01.12.1963;;Married;HighSchool;1;1;0
205;6450;18.11.2015;Individual;Hannah;Butt;;female;Butt;15.04.1968;;Married;Bachelor;1;4;1
206;6242;01.11.2014;Individual;Sarah;Amigon;;female;Amigon;17.06.1980;;Single;HighSchool;1;1;0
207;6451;10.12.2015;Individual;Melissa;Butt;;female;Butt;26.11.1972;;Single;HighSchool;0;2;0
208;6243;02.08.2014;Individual;Shelby;Amigon;;female;Amigon;30.10.1972;;Married;HighSchool;1;4;0
209;6452;29.02.2012;Individual;Ashley;Caldarera;;female;Caldarera;22.01.1982;;Single;AssocDgree;1;3;0
210;6244;22.01.2012;Individual;Alexandra;Anderson;;female;Anderson;06.10.1971;;Single;Bachelor;0;4;1
211;6453;20.08.2012;Individual;Emily;Jackson;;female;Jackson;16.10.1977;;Married;SmeCollege;0;3;0
212;6245;11.07.2014;Individual;Rebecca;Jackson;;female;Jackson;19.02.1972;;Married;SmeCollege;1;2;1
213;6454;15.02.2017;Individual;Morgan;Jackson;;female;Jackson;17.02.1977;;Married;Master;0;2;1
214;6246;09.04.2012;Individual;Stephanie;Jackson;;female;Jackson;20.02.1983;;Single;AssocDgree;1;4;1
215;6455;01.06.2014;Individual;Amber;Martinez;;female;Martinez;28.11.1972;;Married;HighSchool;0;3;1
216;6247;22.08.2015;Individual;Amber;Johnson;;female;Johnson;10.03.1970;;Single;Master;1;2;0
217;6456;30.12.2016;Individual;Brianna;Martinez;;female;Martinez;14.02.1984;;Single;Bachelor;1;2;1
218;6248;16.08.2015;Individual;Brianna;Johnson;;female;Johnson;15.03.1967;;Single;Bachelor;1;4;0
219;6457;10.01.2016;Individual;Jasmine;Martinez;;female;Martinez;29.06.1965;;Single;ProfDgree;0;3;0
220;6249;17.03.2012;Individual;Jasmine;Johnson;;female;Johnson;04.06.1959;;Married;Bachelor;0;2;0
221;6458;26.02.2014;Individual;Katherine;Martinez;;female;Martinez;07.10.1965;;Single;Bachelor;1;4;1
222;6250;11.05.2012;Individual;Katherine;Johnson;;female;Johnson;31.08.1978;;Single;AssocDgree;0;2;0
223;6459;08.07.2015;Individual;Lauren;Martinez;;female;Martinez;19.12.1980;;Married;Bachelor;0;2;1
224;6251;28.03.2017;Individual;Lauren;Johnson;;female;Johnson;07.03.1968;;Married;AssocDgree;1;4;1
225;6460;12.08.2013;Individual;Madison;Martinez;;female;Martinez;10.05.1982;;Single;Master;0;1;1
226;6252;03.03.2015;Individual;Madison;Johnson;;female;Johnson;02.01.1980;;Single;9thGrade;1;4;0
227;6461;22.01.2012;Individual;Rachel;Martinez;;female;Martinez;22.12.1976;;Single;SmeCollege;0;4;1
228;6253;24.09.2013;Individual;Brittany;Jackson;;female;Jackson;20.12.1963;;Single;SmeCollege;0;2;1
229;6462;21.02.2012;Individual;Sarah;Martinez;;female;Martinez;03.01.1965;;Single;Master;1;2;1
230;6463;16.07.2013;Individual;Shelby;Martinez;;female;Martinez;15.06.1981;;Single;Bachelor;0;2;1
231;6254;21.04.2012;Individual;Jennifer;Jackson;;female;Jackson;22.08.1963;;Married;HighSchool;0;1;0
232;6464;11.09.2015;Individual;Jennifer;Rim;;female;Rim;19.12.1987;;Single;Bachelor;0;1;0
233;6255;21.09.2013;Individual;Emily;Martinez;;female;Martinez;29.01.1983;;Single;Master;1;2;1
234;6465;03.11.2016;Individual;Rebecca;Rim;;female;Rim;30.11.1963;;Single;HighSchool;0;1;1
235;6256;07.07.2015;Individual;Morgan;Martinez;;female;Martinez;12.12.1966;;Married;Master;0;3;1
236;6466;25.09.2015;Individual;Stephanie;Rim;;female;Rim;29.06.1963;;Married;9thGrade;1;4;0
237;6257;20.01.2017;Individual;Abigail;Miller;;female;Miller;06.10.1983;;Married;SmeCollege;1;4;1
238;6467;25.07.2014;Individual;Alexis;Rodriguez;;female;Rodriguez;13.11.1982;;Single;HighSchool;1;2;1
239;6258;14.11.2012;Individual;Jessica;Rim;;female;Rim;30.12.1972;;Single;SmeCollege;0;2;1
240;6468;15.10.2012;Individual;Alexis;Garcia;;female;Garcia;03.10.1982;;Single;Bachelor;1;2;1
