;FIN_FINANCIALCONTRACTID;FIN_SOURCESYSTEM;SEQUENCENUMBER3;ISSUENUMBER;NUMBERONCARD;VALIDFROMONCARD;VALIDTOONCARD;LIFECYCLESTATUS2;ISSUEREASON;CARDDELIVERYDATE;PINDELIVERYDATE;SHIPPINGMETHOD
19;100001375;CARDSYSTEM;100001375;1;647122781;09.03.2013;08.03.2017;active;FirstIssue;15.03.2013;17.03.2013;StandardMail
20;100001376;CARDSYSTEM;100001376;1;957701552;02.06.2013;01.06.2017;active;FirstIssue;08.06.2013;12.06.2013;StandardMail
21;100001377;CARDSYSTEM;100001377;1;526675734;24.07.2015;23.07.2019;active;FirstIssue;28.07.2015;01.08.2015;StandardMail
22;100001378;CARDSYSTEM;100001378;1;274294676;22.04.2015;21.04.2019;active;FirstIssue;28.04.2015;30.04.2015;StandardMail
23;100001379;CARDSYSTEM;100001379;1;886855728;16.03.2013;15.03.2017;active;FirstIssue;22.03.2013;26.03.2013;StandardMail
24;100001380;CARDSYSTEM;100001380;1;543106049;12.12.2015;11.12.2019;active;FirstIssue;17.12.2015;20.12.2015;StandardMail
25;100001381;CARDSYSTEM;100001381;1;302215666;01.10.2014;30.09.2018;active;FirstIssue;07.10.2014;12.10.2014;StandardMail
26;100001382;CARDSYSTEM;100001382;1;68506269;31.08.2015;30.08.2019;active;FirstIssue;06.09.2015;11.09.2015;StandardMail
27;100001383;CARDSYSTEM;100001383;1;917757893;26.05.2012;25.05.2016;active;FirstIssue;01.06.2012;06.06.2012;StandardMail
28;100001384;CARDSYSTEM;100001384;1;881054805;20.11.2013;19.11.2017;active;FirstIssue;23.11.2013;01.12.2013;StandardMail
29;100001385;CARDSYSTEM;100001385;1;483486696;12.08.2012;11.08.2016;active;FirstIssue;15.08.2012;22.08.2012;StandardMail
30;100001386;CARDSYSTEM;100001386;1;578208217;22.03.2014;21.03.2018;active;FirstIssue;25.03.2014;31.03.2014;StandardMail
31;100001387;CARDSYSTEM;100001387;1;461080576;18.02.2017;17.02.2021;active;FirstIssue;21.02.2017;01.03.2017;StandardMail
32;100001388;CARDSYSTEM;100001388;1;304976973;18.04.2017;17.04.2021;active;FirstIssue;23.04.2017;27.04.2017;StandardMail
33;100001389;CARDSYSTEM;100001389;1;646660101;26.09.2014;25.09.2018;active;FirstIssue;29.09.2014;04.10.2014;StandardMail
34;100001390;CARDSYSTEM;100001390;1;766142875;29.11.2013;28.11.2017;active;FirstIssue;05.12.2013;09.12.2013;StandardMail
35;100001391;CARDSYSTEM;100001391;1;209747336;28.01.2013;27.01.2017;active;FirstIssue;31.01.2013;05.02.2013;StandardMail
36;100001392;CARDSYSTEM;100001392;1;10243818;26.09.2013;25.09.2017;active;FirstIssue;29.09.2013;05.10.2013;StandardMail
37;100001393;CARDSYSTEM;100001393;1;784203878;05.11.2016;04.11.2020;active;FirstIssue;08.11.2016;13.11.2016;StandardMail
38;100001394;CARDSYSTEM;100001394;1;817543439;18.04.2016;17.04.2020;active;FirstIssue;24.04.2016;27.04.2016;StandardMail
39;100001395;CARDSYSTEM;100001395;1;206029777;14.02.2013;13.02.2017;active;FirstIssue;19.02.2013;22.02.2013;StandardMail
40;100001396;CARDSYSTEM;100001396;1;865476639;14.03.2016;13.03.2020;active;FirstIssue;19.03.2016;24.03.2016;StandardMail
41;100001397;CARDSYSTEM;100001397;1;718795220;27.08.2015;26.08.2019;active;FirstIssue;31.08.2015;04.09.2015;StandardMail
42;100001398;CARDSYSTEM;100001398;1;442946888;30.07.2016;29.07.2020;active;FirstIssue;04.08.2016;07.08.2016;StandardMail
43;100001399;CARDSYSTEM;100001399;1;924143589;18.01.2014;17.01.2018;active;FirstIssue;24.01.2014;26.01.2014;StandardMail
44;100001400;CARDSYSTEM;100001400;1;324159157;15.08.2016;14.08.2020;active;FirstIssue;19.08.2016;24.08.2016;StandardMail
45;100001401;CARDSYSTEM;100001401;1;489491282;09.04.2012;08.04.2016;active;FirstIssue;12.04.2012;17.04.2012;StandardMail
46;100001402;CARDSYSTEM;100001402;1;517387487;17.03.2016;16.03.2020;active;FirstIssue;22.03.2016;26.03.2016;StandardMail
47;100001403;CARDSYSTEM;100001403;1;578768101;09.07.2014;08.07.2018;active;FirstIssue;12.07.2014;17.07.2014;StandardMail
48;100001404;CARDSYSTEM;100001404;1;924846074;15.03.2014;14.03.2018;active;FirstIssue;19.03.2014;26.03.2014;StandardMail
49;100001405;CARDSYSTEM;100001405;1;203326128;10.05.2017;09.05.2021;active;FirstIssue;13.05.2017;21.05.2017;StandardMail
50;100001406;CARDSYSTEM;100001406;1;571133810;29.05.2014;28.05.2018;active;FirstIssue;03.06.2014;08.06.2014;StandardMail
51;100001407;CARDSYSTEM;100001407;1;148744766;19.08.2012;18.08.2016;active;FirstIssue;22.08.2012;30.08.2012;StandardMail
52;100001408;CARDSYSTEM;100001408;1;885825322;20.01.2015;19.01.2019;active;FirstIssue;24.01.2015;31.01.2015;StandardMail
53;100001409;CARDSYSTEM;100001409;1;859649966;23.09.2016;22.09.2020;active;FirstIssue;29.09.2016;01.10.2016;StandardMail
54;100001410;CARDSYSTEM;100001410;1;615347217;02.03.2013;01.03.2017;active;FirstIssue;05.03.2013;13.03.2013;StandardMail
55;100001411;CARDSYSTEM;100001411;1;625721165;10.04.2013;09.04.2017;active;FirstIssue;14.04.2013;18.04.2013;StandardMail
56;100001412;CARDSYSTEM;100001412;1;297643338;07.10.2014;06.10.2018;active;FirstIssue;10.10.2014;16.10.2014;StandardMail
57;100001413;CARDSYSTEM;100001413;1;640875889;04.01.2017;03.01.2021;active;FirstIssue;10.01.2017;12.01.2017;StandardMail
58;100001414;CARDSYSTEM;100001414;1;817816131;23.08.2016;22.08.2020;active;FirstIssue;29.08.2016;01.09.2016;StandardMail
59;100001415;CARDSYSTEM;100001415;1;970161929;20.05.2012;19.05.2016;active;FirstIssue;23.05.2012;28.05.2012;StandardMail
60;100001416;CARDSYSTEM;100001416;1;403742560;13.02.2014;12.02.2018;active;FirstIssue;16.02.2014;24.02.2014;StandardMail
61;100001417;CARDSYSTEM;100001417;1;170595912;03.11.2012;02.11.2016;active;FirstIssue;06.11.2012;13.11.2012;StandardMail
62;100001418;CARDSYSTEM;100001418;1;521913509;17.09.2016;16.09.2020;active;FirstIssue;20.09.2016;26.09.2016;StandardMail
63;100001419;CARDSYSTEM;100001419;1;299142059;24.10.2014;23.10.2018;active;FirstIssue;30.10.2014;02.11.2014;StandardMail
64;100001420;CARDSYSTEM;100001420;1;477988737;09.02.2013;08.02.2017;active;FirstIssue;14.02.2013;20.02.2013;StandardMail
65;100001421;CARDSYSTEM;100001421;1;242986836;13.03.2017;12.03.2021;active;FirstIssue;18.03.2017;21.03.2017;StandardMail
66;100001422;CARDSYSTEM;100001422;1;105371447;07.06.2017;06.06.2021;active;FirstIssue;10.06.2017;16.06.2017;StandardMail
67;100001423;CARDSYSTEM;100001423;1;783455518;10.09.2012;09.09.2016;active;FirstIssue;14.09.2012;19.09.2012;StandardMail
68;100001424;CARDSYSTEM;100001424;1;795670575;17.08.2013;16.08.2017;active;FirstIssue;20.08.2013;26.08.2013;StandardMail
69;100001425;CARDSYSTEM;100001425;1;522027305;24.05.2012;23.05.2016;active;FirstIssue;28.05.2012;04.06.2012;StandardMail
70;100001426;CARDSYSTEM;100001426;1;187170362;24.03.2014;23.03.2018;active;FirstIssue;29.03.2014;03.04.2014;StandardMail
71;100001427;CARDSYSTEM;100001427;1;768209747;24.02.2016;23.02.2020;active;FirstIssue;27.02.2016;06.03.2016;StandardMail
72;100001428;CARDSYSTEM;100001428;1;198955430;15.08.2013;14.08.2017;active;FirstIssue;21.08.2013;25.08.2013;StandardMail
73;100001429;CARDSYSTEM;100001429;1;703704859;29.12.2012;28.12.2016;active;FirstIssue;04.01.2013;06.01.2013;StandardMail
74;100001430;CARDSYSTEM;100001430;1;674729779;12.01.2013;11.01.2017;active;FirstIssue;16.01.2013;23.01.2013;StandardMail
75;100001431;CARDSYSTEM;100001431;1;609085959;22.06.2014;21.06.2018;active;FirstIssue;26.06.2014;30.06.2014;StandardMail
76;100001432;CARDSYSTEM;100001432;1;751915845;26.01.2014;25.01.2018;active;FirstIssue;01.02.2014;05.02.2014;StandardMail
77;100001433;CARDSYSTEM;100001433;1;653891641;25.02.2012;24.02.2016;active;FirstIssue;02.03.2012;05.03.2012;StandardMail
78;100001434;CARDSYSTEM;100001434;1;158721132;16.09.2014;15.09.2018;active;FirstIssue;21.09.2014;25.09.2014;StandardMail
79;100001435;CARDSYSTEM;100001435;1;730612407;22.02.2014;21.02.2018;active;FirstIssue;25.02.2014;05.03.2014;StandardMail
80;100001436;CARDSYSTEM;100001436;1;996347883;26.08.2013;25.08.2017;active;FirstIssue;29.08.2013;06.09.2013;StandardMail
81;100001437;CARDSYSTEM;100001437;1;10675905;10.12.2013;09.12.2017;active;FirstIssue;15.12.2013;20.12.2013;StandardMail
82;100001438;CARDSYSTEM;100001438;1;147209401;13.05.2017;12.05.2021;active;FirstIssue;19.05.2017;22.05.2017;StandardMail
83;100001439;CARDSYSTEM;100001439;1;401084764;09.06.2013;08.06.2017;active;FirstIssue;15.06.2013;19.06.2013;StandardMail
84;100001440;CARDSYSTEM;100001440;1;295213846;29.11.2015;28.11.2019;active;FirstIssue;03.12.2015;07.12.2015;StandardMail
85;100001441;CARDSYSTEM;100001441;1;757481262;05.03.2014;04.03.2018;active;FirstIssue;08.03.2014;13.03.2014;StandardMail
86;100001442;CARDSYSTEM;100001442;1;647418690;18.06.2017;17.06.2021;active;FirstIssue;21.06.2017;26.06.2017;StandardMail
87;100001443;CARDSYSTEM;100001443;1;726083892;20.06.2017;19.06.2021;active;FirstIssue;26.06.2017;30.06.2017;StandardMail
88;100001444;CARDSYSTEM;100001444;1;772484154;09.02.2016;08.02.2020;active;FirstIssue;13.02.2016;19.02.2016;StandardMail
89;100001445;CARDSYSTEM;100001445;1;261125742;28.06.2013;27.06.2017;active;FirstIssue;04.07.2013;06.07.2013;StandardMail
90;100001446;CARDSYSTEM;100001446;1;587802245;21.08.2014;20.08.2018;active;FirstIssue;27.08.2014;30.08.2014;StandardMail
91;100001447;CARDSYSTEM;100001447;1;362053450;17.06.2014;16.06.2018;active;FirstIssue;21.06.2014;26.06.2014;StandardMail
92;100001448;CARDSYSTEM;100001448;1;345970922;30.04.2017;29.04.2021;active;FirstIssue;06.05.2017;08.05.2017;StandardMail
93;100001449;CARDSYSTEM;100001449;1;286042518;22.10.2013;21.10.2017;active;FirstIssue;26.10.2013;30.10.2013;StandardMail
94;100001450;CARDSYSTEM;100001450;1;588220870;25.11.2015;24.11.2019;active;FirstIssue;01.12.2015;05.12.2015;StandardMail
95;100001451;CARDSYSTEM;100001451;1;448966499;16.12.2015;15.12.2019;active;FirstIssue;22.12.2015;25.12.2015;StandardMail
96;100001452;CARDSYSTEM;100001452;1;356073814;08.03.2012;07.03.2016;active;FirstIssue;11.03.2012;16.03.2012;StandardMail
97;100001453;CARDSYSTEM;100001453;1;470023918;25.08.2012;24.08.2016;active;FirstIssue;31.08.2012;02.09.2012;StandardMail
98;100001454;CARDSYSTEM;100001454;1;567986772;24.02.2017;23.02.2021;active;FirstIssue;28.02.2017;06.03.2017;StandardMail
99;100001455;CARDSYSTEM;100001455;1;257191152;08.06.2014;07.06.2018;active;FirstIssue;11.06.2014;19.06.2014;StandardMail
100;100001456;CARDSYSTEM;100001456;1;283608496;08.01.2017;07.01.2021;active;FirstIssue;13.01.2017;19.01.2017;StandardMail
101;100001457;CARDSYSTEM;100001457;1;771242394;17.01.2016;16.01.2020;active;FirstIssue;22.01.2016;27.01.2016;StandardMail
102;100001458;CARDSYSTEM;100001458;1;703483504;04.03.2014;03.03.2018;active;FirstIssue;09.03.2014;15.03.2014;StandardMail
103;100001459;CARDSYSTEM;100001459;1;60770868;17.07.2015;16.07.2019;active;FirstIssue;21.07.2015;27.07.2015;StandardMail
104;100001460;CARDSYSTEM;100001460;1;66484216;21.08.2013;20.08.2017;active;FirstIssue;24.08.2013;29.08.2013;StandardMail
105;100001461;CARDSYSTEM;100001461;1;386067814;31.01.2012;30.01.2016;active;FirstIssue;04.02.2012;10.02.2012;StandardMail
106;100001462;CARDSYSTEM;100001462;1;226087502;27.02.2012;26.02.2016;active;FirstIssue;02.03.2012;09.03.2012;StandardMail
107;100001463;CARDSYSTEM;100001463;1;721484859;25.07.2013;24.07.2017;active;FirstIssue;29.07.2013;04.08.2013;StandardMail
108;100001464;CARDSYSTEM;100001464;1;507898692;17.09.2015;16.09.2019;active;FirstIssue;22.09.2015;27.09.2015;StandardMail
109;100001465;CARDSYSTEM;100001465;1;631823121;08.11.2016;07.11.2020;active;FirstIssue;13.11.2016;16.11.2016;StandardMail
110;100001466;CARDSYSTEM;100001466;1;564787192;04.10.2015;03.10.2019;active;FirstIssue;10.10.2015;13.10.2015;StandardMail
111;100001467;CARDSYSTEM;100001467;1;500297338;31.07.2014;30.07.2018;active;FirstIssue;06.08.2014;08.08.2014;StandardMail
112;100001468;CARDSYSTEM;100001468;1;276060313;24.10.2012;23.10.2016;active;FirstIssue;27.10.2012;04.11.2012;StandardMail
113;100001469;CARDSYSTEM;100001469;1;302772472;09.04.2015;08.04.2019;active;FirstIssue;14.04.2015;19.04.2015;StandardMail
114;100001470;CARDSYSTEM;100001470;1;332521187;31.03.2013;30.03.2017;active;FirstIssue;05.04.2013;09.04.2013;StandardMail
115;100001471;CARDSYSTEM;100001471;1;578127741;06.04.2014;05.04.2018;active;FirstIssue;12.04.2014;15.04.2014;StandardMail
116;100001472;CARDSYSTEM;100001472;1;1002750899;27.08.2014;26.08.2018;active;FirstIssue;01.09.2014;07.09.2014;StandardMail
117;100001473;CARDSYSTEM;100001473;1;988604434;29.01.2014;28.01.2018;active;FirstIssue;04.02.2014;07.02.2014;StandardMail
118;100001474;CARDSYSTEM;100001474;1;656233202;19.03.2014;18.03.2018;active;FirstIssue;22.03.2014;27.03.2014;StandardMail
119;100001475;CARDSYSTEM;100001475;1;801076764;09.02.2012;08.02.2016;active;FirstIssue;15.02.2012;18.02.2012;StandardMail
120;100001476;CARDSYSTEM;100001476;1;971463613;25.06.2013;24.06.2017;active;FirstIssue;01.07.2013;04.07.2013;StandardMail
121;100001477;CARDSYSTEM;100001477;1;870059642;02.12.2013;01.12.2017;active;FirstIssue;08.12.2013;13.12.2013;StandardMail
122;100001478;CARDSYSTEM;100001478;1;351139105;28.07.2016;27.07.2020;active;FirstIssue;31.07.2016;06.08.2016;StandardMail
123;100001479;CARDSYSTEM;100001479;1;146689285;23.11.2015;22.11.2019;active;FirstIssue;28.11.2015;03.12.2015;StandardMail
124;100001480;CARDSYSTEM;100001480;1;900478038;14.02.2012;13.02.2016;active;FirstIssue;17.02.2012;25.02.2012;StandardMail
125;100001481;CARDSYSTEM;100001481;1;475092739;18.06.2012;17.06.2016;active;FirstIssue;22.06.2012;29.06.2012;StandardMail
126;100001482;CARDSYSTEM;100001482;1;437245843;07.02.2016;06.02.2020;active;FirstIssue;10.02.2016;17.02.2016;StandardMail
127;100001483;CARDSYSTEM;100001483;1;399052364;28.02.2015;27.02.2019;active;FirstIssue;05.03.2015;09.03.2015;StandardMail
128;100001484;CARDSYSTEM;100001484;1;319408542;14.10.2014;13.10.2018;active;FirstIssue;20.10.2014;24.10.2014;StandardMail
129;100001485;CARDSYSTEM;100001485;1;909257679;05.03.2016;04.03.2020;active;FirstIssue;10.03.2016;13.03.2016;StandardMail
130;100001486;CARDSYSTEM;100001486;1;501055256;20.05.2017;19.05.2021;active;FirstIssue;25.05.2017;30.05.2017;StandardMail
131;100001487;CARDSYSTEM;100001487;1;557136703;15.04.2012;14.04.2016;active;FirstIssue;18.04.2012;24.04.2012;StandardMail
132;100001488;CARDSYSTEM;100001488;1;40209172;04.07.2016;03.07.2020;active;FirstIssue;07.07.2016;13.07.2016;StandardMail
133;100001489;CARDSYSTEM;100001489;1;51993658;24.03.2015;23.03.2019;active;FirstIssue;28.03.2015;04.04.2015;StandardMail
134;100001490;CARDSYSTEM;100001490;1;401963072;01.05.2014;30.04.2018;active;FirstIssue;05.05.2014;10.05.2014;StandardMail
135;100001491;CARDSYSTEM;100001491;1;446601609;14.05.2016;13.05.2020;active;FirstIssue;18.05.2016;24.05.2016;StandardMail
136;100001492;CARDSYSTEM;100001492;1;223116672;11.09.2016;10.09.2020;active;FirstIssue;16.09.2016;20.09.2016;StandardMail
137;100001493;CARDSYSTEM;100001493;1;223224792;10.10.2016;09.10.2020;active;FirstIssue;15.10.2016;19.10.2016;StandardMail
138;100001494;CARDSYSTEM;100001494;1;819450170;02.11.2015;01.11.2019;active;FirstIssue;07.11.2015;11.11.2015;StandardMail
139;100001495;CARDSYSTEM;100001495;1;63864457;13.02.2015;12.02.2019;active;FirstIssue;19.02.2015;22.02.2015;StandardMail
140;100001496;CARDSYSTEM;100001496;1;533136624;20.03.2015;19.03.2019;active;FirstIssue;25.03.2015;30.03.2015;StandardMail
141;100001497;CARDSYSTEM;100001497;1;817821192;08.06.2013;07.06.2017;active;FirstIssue;13.06.2013;18.06.2013;StandardMail
142;100001498;CARDSYSTEM;100001498;1;145945115;08.09.2016;07.09.2020;active;FirstIssue;13.09.2016;19.09.2016;StandardMail
143;100001499;CARDSYSTEM;100001499;1;127542305;06.03.2017;05.03.2021;active;FirstIssue;12.03.2017;17.03.2017;StandardMail
144;100001500;CARDSYSTEM;100001500;1;891962673;17.06.2015;16.06.2019;active;FirstIssue;23.06.2015;27.06.2015;StandardMail
145;100001501;CARDSYSTEM;100001501;1;410369503;28.01.2017;27.01.2021;active;FirstIssue;31.01.2017;06.02.2017;StandardMail
146;100001502;CARDSYSTEM;100001502;1;224867282;25.11.2012;24.11.2016;active;FirstIssue;29.11.2012;03.12.2012;StandardMail
147;100001503;CARDSYSTEM;100001503;1;356300543;06.04.2014;05.04.2018;active;FirstIssue;09.04.2014;15.04.2014;StandardMail
148;100001504;CARDSYSTEM;100001504;1;325319307;11.03.2012;10.03.2016;active;FirstIssue;14.03.2012;22.03.2012;StandardMail
149;100001505;CARDSYSTEM;100001505;1;823410280;23.09.2012;22.09.2016;active;FirstIssue;28.09.2012;01.10.2012;StandardMail
150;100001506;CARDSYSTEM;100001506;1;427515337;08.10.2016;07.10.2020;active;FirstIssue;13.10.2016;19.10.2016;StandardMail
151;100001507;CARDSYSTEM;100001507;1;964809196;15.12.2015;14.12.2019;active;FirstIssue;19.12.2015;25.12.2015;StandardMail
152;100001508;CARDSYSTEM;100001508;1;399391487;09.02.2017;08.02.2021;active;FirstIssue;14.02.2017;18.02.2017;StandardMail
153;100001509;CARDSYSTEM;100001509;1;674774395;18.06.2017;17.06.2021;active;FirstIssue;21.06.2017;29.06.2017;StandardMail
154;100001510;CARDSYSTEM;100001510;1;580014351;26.03.2013;25.03.2017;active;FirstIssue;01.04.2013;04.04.2013;StandardMail
155;100001511;CARDSYSTEM;100001511;1;871955166;17.05.2015;16.05.2019;active;FirstIssue;22.05.2015;28.05.2015;StandardMail
156;100001512;CARDSYSTEM;100001512;1;757558747;13.06.2013;12.06.2017;active;FirstIssue;17.06.2013;23.06.2013;StandardMail
157;100001513;CARDSYSTEM;100001513;1;882038621;26.07.2015;25.07.2019;active;FirstIssue;29.07.2015;04.08.2015;StandardMail
158;100001514;CARDSYSTEM;100001514;1;228614262;12.06.2015;11.06.2019;active;FirstIssue;17.06.2015;21.06.2015;StandardMail
159;100001515;CARDSYSTEM;100001515;1;137409841;28.02.2013;27.02.2017;active;FirstIssue;04.03.2013;10.03.2013;StandardMail
160;100001516;CARDSYSTEM;100001516;1;245727378;30.06.2012;29.06.2016;active;FirstIssue;06.07.2012;10.07.2012;StandardMail
161;100001517;CARDSYSTEM;100001517;1;643150540;07.12.2013;06.12.2017;active;FirstIssue;12.12.2013;17.12.2013;StandardMail
162;100001518;CARDSYSTEM;100001518;1;752129204;16.07.2016;15.07.2020;active;FirstIssue;22.07.2016;27.07.2016;StandardMail
163;100001519;CARDSYSTEM;100001519;1;108496648;31.07.2014;30.07.2018;active;FirstIssue;03.08.2014;08.08.2014;StandardMail
164;100001520;CARDSYSTEM;100001520;1;131623719;23.12.2013;22.12.2017;active;FirstIssue;27.12.2013;01.01.2014;StandardMail
165;100001521;CARDSYSTEM;100001521;1;383450950;29.09.2016;28.09.2020;active;FirstIssue;03.10.2016;09.10.2016;StandardMail
166;100001522;CARDSYSTEM;100001522;1;817113185;02.05.2015;01.05.2019;active;FirstIssue;06.05.2015;10.05.2015;StandardMail
167;100001523;CARDSYSTEM;100001523;1;790542620;24.03.2014;23.03.2018;active;FirstIssue;28.03.2014;04.04.2014;StandardMail
168;100001524;CARDSYSTEM;100001524;1;922443534;30.12.2014;29.12.2018;active;FirstIssue;03.01.2015;09.01.2015;StandardMail
169;100001525;CARDSYSTEM;100001525;1;172516020;29.03.2012;28.03.2016;active;FirstIssue;04.04.2012;07.04.2012;StandardMail
170;100001526;CARDSYSTEM;100001526;1;676762000;10.12.2016;09.12.2020;active;FirstIssue;16.12.2016;18.12.2016;StandardMail
171;100001527;CARDSYSTEM;100001527;1;935819708;09.12.2016;08.12.2020;active;FirstIssue;12.12.2016;18.12.2016;StandardMail
172;100001528;CARDSYSTEM;100001528;1;269634652;22.09.2016;21.09.2020;active;FirstIssue;26.09.2016;03.10.2016;StandardMail
173;100001529;CARDSYSTEM;100001529;1;106420374;28.12.2014;27.12.2018;active;FirstIssue;01.01.2015;08.01.2015;StandardMail
174;100001530;CARDSYSTEM;100001530;1;812552437;13.07.2016;12.07.2020;active;FirstIssue;18.07.2016;23.07.2016;StandardMail
175;100001531;CARDSYSTEM;100001531;1;349137028;23.04.2015;22.04.2019;active;FirstIssue;28.04.2015;02.05.2015;StandardMail
176;100001532;CARDSYSTEM;100001532;1;473498644;15.01.2017;14.01.2021;active;FirstIssue;21.01.2017;24.01.2017;StandardMail
177;100001533;CARDSYSTEM;100001533;1;165684563;13.03.2015;12.03.2019;active;FirstIssue;16.03.2015;21.03.2015;StandardMail
178;100001534;CARDSYSTEM;100001534;1;422045320;07.09.2016;06.09.2020;active;FirstIssue;12.09.2016;18.09.2016;StandardMail
179;100001535;CARDSYSTEM;100001535;1;912027154;24.10.2013;23.10.2017;active;FirstIssue;29.10.2013;01.11.2013;StandardMail
180;100001536;CARDSYSTEM;100001536;1;77849242;01.11.2015;31.10.2019;active;FirstIssue;05.11.2015;11.11.2015;StandardMail
181;100001537;CARDSYSTEM;100001537;1;31311127;01.02.2014;31.01.2018;active;FirstIssue;07.02.2014;12.02.2014;StandardMail
182;100001538;CARDSYSTEM;100001538;1;246013593;16.01.2013;15.01.2017;active;FirstIssue;22.01.2013;27.01.2013;StandardMail
183;100001539;CARDSYSTEM;100001539;1;829437002;28.07.2015;27.07.2019;active;FirstIssue;01.08.2015;06.08.2015;StandardMail
184;100001540;CARDSYSTEM;100001540;1;58636139;13.01.2012;12.01.2016;active;FirstIssue;17.01.2012;24.01.2012;StandardMail
185;100001541;CARDSYSTEM;100001541;1;382366327;30.05.2013;29.05.2017;active;FirstIssue;05.06.2013;10.06.2013;StandardMail
186;100001542;CARDSYSTEM;100001542;1;247102478;18.07.2016;17.07.2020;active;FirstIssue;23.07.2016;28.07.2016;StandardMail
187;100001543;CARDSYSTEM;100001543;1;590620597;23.12.2012;22.12.2016;active;FirstIssue;27.12.2012;02.01.2013;StandardMail
188;100001544;CARDSYSTEM;100001544;1;108975587;14.12.2014;13.12.2018;active;FirstIssue;18.12.2014;22.12.2014;StandardMail
189;100001545;CARDSYSTEM;100001545;1;150682020;20.10.2013;19.10.2017;active;FirstIssue;25.10.2013;29.10.2013;StandardMail
190;100001546;CARDSYSTEM;100001546;1;622439760;23.08.2013;22.08.2017;active;FirstIssue;28.08.2013;03.09.2013;StandardMail
191;100001547;CARDSYSTEM;100001547;1;152537397;31.05.2014;30.05.2018;active;FirstIssue;04.06.2014;10.06.2014;StandardMail
192;100001548;CARDSYSTEM;100001548;1;514231529;13.11.2012;12.11.2016;active;FirstIssue;18.11.2012;24.11.2012;StandardMail
193;100001549;CARDSYSTEM;100001549;1;252699598;27.04.2015;26.04.2019;active;FirstIssue;01.05.2015;06.05.2015;StandardMail
194;100001550;CARDSYSTEM;100001550;1;668761394;27.12.2012;26.12.2016;active;FirstIssue;30.12.2012;06.01.2013;StandardMail
195;100001551;CARDSYSTEM;100001551;1;837452975;01.04.2012;31.03.2016;active;FirstIssue;07.04.2012;12.04.2012;StandardMail
196;100001552;CARDSYSTEM;100001552;1;124490105;27.02.2017;26.02.2021;active;FirstIssue;04.03.2017;07.03.2017;StandardMail
197;100001553;CARDSYSTEM;100001553;1;285270503;03.11.2013;02.11.2017;active;FirstIssue;09.11.2013;13.11.2013;StandardMail
198;100001554;CARDSYSTEM;100001554;1;984902328;22.06.2016;21.06.2020;active;FirstIssue;26.06.2016;30.06.2016;StandardMail
